Meals,Need a side?,Need a sauce?,Dish Type,Prep Time,Main Ingredient,Addtional Ingredients,Directions
ramen,FALSE,FALSE,Main,30,chicken,"mushrooms; some; sesame oil, onion; 1/2-1,jalepeno; 2-3,carrots; a few; green onions; 1 bunch, sesasme seeds, ramen; a few packs, chicken; 2-3 breasts/thighs, bok choy; a few heads","(1) season and fry chicken then shred (2) meanwhile, cut up mushrooms, garlic, and onion and fry in sesame oil (3) once onions are translucent add water and chicken bouillon if desired, bring to a simmer (4) add in the julienned carrots, chicken, and any sauce flavor combos of your choice (soy sauce, hoison sauce, sriracha, peanut butter, a few scrambled eggs, etc) (5) add in bok choy ramen (typically I do the number of people plus 1 pack, if using stupid brand name ramen throw that shitty spice packet in the trash DO NOT put it in the soup) (6) optionally poach an egg or two in the soup or add a fried egg on top when you plate it (7) serve and top with fried egg, toasted sesame seeds, sliced green onion, sriracha, hoison sauce, etc"
orange chicken,TRUE,FALSE,Main,60,chicken,"flour,milk,cornstarch, oranges; several large ones, ginger; 1 inch piece, rice vinegar; 2 TBSP, sugar; 1/2 cup, eggs; 3-5, green onions; 1 bunch, cauliflower (optional); 1 head (supplemental) or more to completely replace chkn","(1) Cut chicken and/or cauliflower into bite sized pieces (2) In a small bowl whisk 3 eggs (add more as needed throughout process) and in another combine a 1-1 ratio of flour and cornstarch, season with s&p and garlic/onion powder (3) dip pieces into eggs then flour (4) heat 2ish inches of oil in a pot (using a smaller pot means more batches but you can waste less oil!) and try to maintain it at about 350 degrees throughout the process (5) fry the pieces for 2-3 minutes turning occasionally so they are evenly golden brown, place on paper towel layers to soak up excess oil (6) In a sauce pot add 1 cup of fresh squeezed orange juice, sugar, vinegar, and a few TBSPs each of finely diced garlic aned ginger (optionally could also grate them), let simmer for 5ish minutes (7) mix 2-4 TBSPs of the hot juice and 1 TBSP of cornstarch separately until smooth, add to pot and simmer until thick (Dont let it go too long or it will become gel), remove from heat and add the zest of 1 orange (8) toss with pieces and serve over white rice, garnish with sliced green onions and orange zest"
spaghetti/meatballs,TRUE,FALSE,Main,45,ground beef,,
carbonara,TRUE,FALSE,Main,30,pork (guanciale),"pasta: 1 lb, pecorino romano; 1 hunk, eggs; 4, fresh ground black pepper","(1) cut guanciale into small pieces, DO NOT CUT OFF THE FAT THAT IS THE GOLD (2) finely shred all of the pecorino, set aside some for garnishing (3) fry in a dry pan, no oil (3) cook paste al dente (4) separately combine the eggs, pecorino, and fresh black pepper (do not ruin this with non-freshly cracked black pepper), add some pasta water if it needs it (4) drain (but never rinse) the pasta and add it to the hot pan, remove from heat once pasta is warm (5) add in the egg/cheese mixtures and quickly stir (you want it to be creamy but not runny, also if the eggs cook you've done something wrong)"
beef bulgogi tacos,FALSE,FALSE,Main,35,ground beef,,
chicken & b.sprouts pan,TRUE,FALSE,Main,35,chicken thighs,,
chicken marsala,FALSE,FALSE,Main,40,chicken breasts,,
sriracha honey aioli,FALSE,FALSE,Sauce,5,mayonnaise,"mayonnaise, sriracha, honey","(1) Mix with 3 parts mayo, 1 part sriracha, and 1 part honey"
sriracha wing sauce,FALSE,FALSE,Sauce,5,,,
pesto,FALSE,FALSE,Sauce,15,,,
balsamic glaze,FALSE,FALSE,Sauce,15,,,
teriyaki wing sauce,FALSE,FALSE,Sauce,5,,,
horseradish butternut squash paste,FALSE,FALSE,Sauce,30,butternut squash,"garlic; 1 head, horseradish paste; 1 jar","(1) cube 1/2 a butternut squash, cover evenly in oil and put on baking sheet with a head of garlic (2) roast until squash is done (3) Add squash to blender/food processor and squeeze in roasted garlic (4) add water in small amounts until you achieve a smooth puree/saucy consistency (5) add in horseradish by the spoonful until its so spicy that you can barely eat it (this seems extreme but when you put it on other flavorful foods like steak it will mellow out the horseradish)"
bearniase,FALSE,FALSE,Sauce,30,butter,"butter; 12 TBSP, shallot; 1, white wine vinegar; 1/4 cup, egg yolks; 2; taragon; 2 TBSP","(1) finely mince the shallot and add to a hot pan with the s&p, taragon, and vinegar (2) bring to a boil, "
bordelaise,FALSE,FALSE,Sauce,600,,,
butternut squash/brussel sprout salad,FALSE,FALSE,Side,20,,,
stir fry veggies,FALSE,FALSE,Side,15,,,
garlic parmesean green beans,FALSE,FALSE,Side,10,green beans,,
chili dandelion greens,FALSE,FALSE,Side,5,greens,"dandelion greens; 1 bunch, red chili peppers; 1","(1) chop the greens into bite sized pieces and in a salad spinner (2) pour the extra water in some houseplant (3) bring water to a boil and blanche the greens for 30ish seconds (4) meanwhile fry chili peppers in olive oil (5) add the drained greens to the pan, fry for a minute or two, then serve"
asparagus,FALSE,FALSE,Side,15,asparagus,lemon; 1,"(1) Preheat the oven to 350-400 range (2) chop the last inch or two off of the asparagus (3) evenly oil in a bowl then lay out on baking tray (4) spice to taste (generally I do just s&p if anything), optionally add slices of lemon over it to diffuse flavor during the bake (4) bake until done but still firm (if you over do it they will be stringy and nasty) (5) remove lemons and serve"
focaccia,FALSE,FALSE,Side,30,bread,,
mediterranean salad,FALSE,FALSE,Side,10,tomato,"cucumber, tomato, ovalini mozzerella, shallots, garlic, fresh basil, olive oil","(1) cut up all the vegetables into tiny cubes, chiffonade the basil (2) mix and add olive oil, s&p (3) ratio is really dependent on what you want"
ciabatta,FALSE,FALSE,Side,40,bread,,
,FALSE,FALSE,,,,,
,FALSE,FALSE,,,,,
,FALSE,FALSE,,,,,
,FALSE,FALSE,,,,,
,FALSE,FALSE,,,,,
,FALSE,FALSE,,,,,
,FALSE,FALSE,,,,,
,FALSE,FALSE,,,,,
,FALSE,FALSE,,,,,
,FALSE,FALSE,,,,,
,FALSE,FALSE,,,,,
,FALSE,FALSE,,,,,
,FALSE,FALSE,,,,,
,FALSE,FALSE,,,,,
,FALSE,FALSE,,,,,
,FALSE,FALSE,,,,,
,FALSE,FALSE,,,,,
,FALSE,FALSE,,,,,
,FALSE,FALSE,,,,,
,FALSE,FALSE,,,,,
,FALSE,FALSE,,,,,
,FALSE,FALSE,,,,,
,FALSE,FALSE,,,,,
,FALSE,FALSE,,,,,
,FALSE,FALSE,,,,,
,FALSE,FALSE,,,,,
,FALSE,FALSE,,,,,
,FALSE,FALSE,,,,,
,FALSE,FALSE,,,,,
,FALSE,FALSE,,,,,
,FALSE,FALSE,,,,,
,FALSE,FALSE,,,,,
,FALSE,FALSE,,,,,
,FALSE,FALSE,,,,,
,FALSE,FALSE,,,,,
,FALSE,FALSE,,,,,
